name,date,link,price,ticket_open_date
한화와 함께하는 2024 교향악축제 - 부천필하모닉오케스트라 (4.5),2024-04-05,https://www.sac.or.kr/site/main/show/show_view?SN=60239,"R석 50,000원 / S석 40,000원 / A석 30,000원 / B석 10,000원",2024-02-16
한화와 함께하는 2024 교향악축제 - 코리안챔버오케스트라 (4.6),2024-04-06,https://www.sac.or.kr/site/main/show/show_view?SN=60238,"R석 50,000원 / S석 40,000원 / A석 30,000원 / B석 10,000원",2024-02-16
한화와 함께하는 2024 교향악축제 - 공주시충남교향악단 (4.7),2024-04-07,https://www.sac.or.kr/site/main/show/show_view?SN=60237,"R석 50,000원 / S석 40,000원 / A석 30,000원 / B석 10,000원",2024-02-16
한화와 함께하는 2024 교향악축제 - 대구시립교향악단 (4.9),2024-04-09,https://www.sac.or.kr/site/main/show/show_view?SN=60236,"R석 50,000원 / S석 40,000원 / A석 30,000원 / B석 10,000원",2024-02-16
한화와 함께하는 2024 교향악축제 - 심포니 송 (4.20),2024-04-20,https://www.sac.or.kr/site/main/show/show_view?SN=60226,"R석 50,000원 / S석 40,000원 / A석 30,000원 / B석 10,000원",2024-02-16
한화와 함께하는 2024 교향악축제 - 부산시립교향악단 (4.21),2024-04-21,https://www.sac.or.kr/site/main/show/show_view?SN=60225,"R석 50,000원 / S석 40,000원 / A석 30,000원 / B석 10,000원",2024-02-16
퍼플콘서트 in 서울,2024-05-22,https://www.sac.or.kr/site/main/show/show_view?SN=62321,가격 정보 없음,예매 일정 없음
한국교수콰이어 제18회 정기연주회,2024-05-23,https://www.sac.or.kr/site/main/show/show_view?SN=68521,가격 정보 없음,예매 일정 없음
KBS교향악단 제802회 정기연주회,2024-05-26,https://www.sac.or.kr/site/main/show/show_view?SN=62200,R석 12만원 / S석 10만원 / A석 7만원 / B석 3만원 / C석 1만원,2023-12-15
코리아남성합창단 제23회 정기연주회,2024-05-28,https://www.sac.or.kr/site/main/show/show_view?SN=62178,,
피아니스트 임동혁초청 <베토벤 VS 드보르작>,2024-05-29,https://www.sac.or.kr/site/main/show/show_view?SN=68822,가격 정보 없음,예매 일정 없음
